date,rule_category,rule,reason,source_blocker_or_lesson,status
2026-09-05,source,"外企的中国校招岗位可直接用 Workday 搜索接口抓取：POST https://<host>/wday/cxs/<tenant>/<site>/jobs，body 为 {""appliedFacets"":{},""limit"":20,""offset"":N,""searchText"":""China""}，返回 title、locationsText、postedOn 与 externalPath。",2026-09-05 中国线首跑用此法覆盖 11 家外企共 806 条 req。这印证了 china_application_rules.md 的判断：外企的中国岗位与美国岗位走同一套 ATS，美国线已跑通的接口可直接复用，只需换位置过滤。站点名各家不同，AMD、Qualcomm、Dell、Synopsys 未探到正确站点名，返回 422。,2026-09-05-china-fetch,active
2026-09-05,source,Workday 列表里 locationsText 显示为「N Locations」时不含具体城市，必须取 job 详情读 location 与 additionalLocations 才能判定城市层级。,2026-09-05 三条 NVIDIA 2027 校招在列表里都只显示 3 Locations，取详情后才确认是上海、北京、深圳三地 Tier 1。仅凭列表会把三条最强 lead 的城市判定为未知。,2026-09-05-china-fetch,active
2026-09-05,source-strategy,某条线首次运行且池为空时，时效窗口应按该市场的招聘节奏定，而不是照搬为增量设计的 24/48 小时窗口。,2026-09-05 中国线首跑正值 2027 届秋招，校招 req 普遍挂两到四周仍开放。按 48 小时筛，NVIDIA 三条 2027 校招（发布于 08-21）与 KLA 全部岗位（08-17）都会被漏掉，实际结果会是零 lead。,2026-09-05-china-fetch,active
2026-09-05,screening,中国校招常见的「硕士 0 年经验，或本科 N 年经验」写法不是纯学位门槛，而是学位与经验的组合条件；应届本科生无法满足其本科分支，故仍需先确认学位层次，记为 Needs user 而非 Skipped。,KLA 2027 校招五条上海岗与一条合肥岗均为此写法。与美国线 NVIDIA、Trulioo 那类「必须 MS 或 PhD」不同，本科在这里并非完全不可，但附加了应届生不可能具备的 2 年经验。,2026-09-05-china-fetch,active
2026-09-05,screening,外企中国校招池里，应用工程（Application Engineer / FAE）岗位数量可观且标题常与系统或软件工程混淆，需读正文职责判定，不能只看列表标题。,NXP 一条列表标题为 System and Application Engineer，正文标题实为 Application Engineer – Automotive MCU，职责是客户调试支持与客户培训。KLA 同批另有五条 Regional Development Applications Engineer。两者与美国线 Axon 的 Embedded Technical Account Manager 属同一跳过理由。,2026-09-05-china-fetch,active
2026-09-05,screening,中国的「实习」与美国的 summer internship 不是同一回事：外企中国区的日常实习普遍是 1 年期全职在校实习，面向研二研三等尚有一年以上在校时间的学生，临近毕业者无法满足；判断实习是否可行要读时长与在读要求，不能套用美国暑期实习的心智模型。,NVIDIA 中国区 22 条软件方向 2027 实习中，18 条要求在读，多条写明需 available to work full time for one year，Software QA 条明确写 2nd or 3rd year in a master program，唯一写毕业年的一条要求 2028 届。对 2027 年 5 月毕业的候选人而言，这批实习即使规则允许也几乎全部不可投，正确入口是校招全职。,2026-09-05-china-fetch,active
2026-09-05,screening,毕业时间不再是筛选障碍：候选人可自选 2026 年 12 月或 2027 年 5 月毕业，两端都可用。岗位只要接受其中任一端即视为符合，仅当两端都无法满足（如要求 2028 届）时才按毕业时间跳过。,用户于 2026-09-05 确认两个毕业时间都可以。此前多条岗位被记为「只有一端重叠」需确认：中国线三条 NVIDIA 2027 校招要求 graduate in 2027，美国线 ID.me 要求 May/June 2027、Cadence 偏好 December 2026，现均无毕业时间障碍。此项不影响学位层次问题，那仍未确认。,user-preference-update,active
2026-09-13,source,Microsoft 招聘已迁到 Eightfold：用 GET https://apply.careers.microsoft.com/api/pcsx/search?domain=microsoft.com&query=&location=China&start=N&num=100 分页取列表，用 /api/pcsx/position_details?position_id=<id>&domain=microsoft.com 取正文（字段 jobDescription）。/api/apply/v2/jobs 返回 403 Not authorized for PCSX，不要用。,首跑 2026-09-05 时 Microsoft 校招接口没有返回任何数据，被记为覆盖缺口。2026-09-13 用 pcsx 接口读到中国区 41 条，其中包括本次最强的 APRD Software Engineer 应届岗。,2026-09-13-china-fetch,active
2026-09-13,source,Bosch 中国岗位走 SmartRecruiters：GET https://api.smartrecruiters.com/v1/companies/BoschGroup/postings?country=cn&limit=100&offset=N 分页取列表，/postings/<id> 取正文。校招岗靠标题里的「(27届校招)」识别，不能靠 experienceLevel：校招岗被标成 Associate，Entry Level 标签反而多是社招。,"2026-09-13 中国区共 1,299 条，其中 Entry Level 66 条，但博世智能出行无锡的 27 届校招批次全部标为 Associate。按 experienceLevel 过滤会把整批校招漏掉。",2026-09-13-china-fetch,active
2026-09-13,screening,外企中国区的算法和大模型校招岗，学位门槛普遍是硕士（「20XX届硕士及以上」「硕士在读」）；同批里的软件开发和功能开发岗才放宽到本科。批量筛选时先按岗位类型排读正文的顺序：算法类优先查学历行，软件类优先查年限和方向。,2026-09-13 博世智能出行无锡 27 届校招：大模型算法、预测算法、感知算法三条全部要求硕士，只有辅助驾驶功能开发写本科及以上。微软 APRD 同日两条：Applied Scientist 要硕博，Software Engineer 本科即可。,2026-09-13-china-fetch,active
