date,found_count,submitted_count,skipped_count,blocked_count,needs_user_count,pending_count,top_sources,summary,user_actions_needed
2026-09-05,12,0,6,0,3,3,外企 Workday 校招站点批量扫描（NVIDIA、Intel、Autodesk、Micron、Cadence、Applied Materials、Adobe、NXP、HPE、KLA、3M）,中国线首次 lead-finding fetch，2026-09-05。覆盖 11 家外企的 Workday 校招站点（NVIDIA、Intel、Autodesk、Micron、Cadence、Applied Materials、Adobe、NXP、HPE、KLA、3M），共抓取 806 条中国相关 req，其中位置落在中国或多地点的 636 条，标题相关 485 条，带明确校招或新毕业生标记的 69 条。新增 12 行：3 条 Pending、3 条 Needs user、6 条 Skipped，另有约 55 条合并进伴随说明。首次运行刻意放宽了时效窗口：规则写的是 24 小时优先、必要时 48 小时，但那是为存量池的每日增量设计的；中国池为空且当前正值 2027 届秋招，值钱的校招 req 普遍挂了两到四周仍在开放，按 48 小时筛会把整个秋招季漏掉。本次采用「仍在开放即收」，下次起恢复增量窗口。三条 lead 全部来自 NVIDIA 同一批 2027 校招，地点均为上海、北京、深圳三地 Tier 1，且学位要求明写 Bachelor、Master、PhD 均可，不设高级学位门槛——这与美国线三周内连丢六个岗位于高级学位形成鲜明对比。Software Engineering 与 Deep Learning and High-Performance Computing 两条列 High，Autonomous Vehicles and Robotics 列 Medium，原因是其技能主干为 C/C++/CUDA/ROS，与仍未裁定的 C++ 问题直接相关。三条共同的待确认点是毕业时间：要求 Expected to graduate in 2027，而候选人窗口为 2026 年 12 月至 2027 年 5 月，只有 5 月一端落入。KLA 的三条全部落在 Needs user，卡点相同且是同一个老问题：资格线写作硕士加 0 年经验，或本科加 2 年相关经验，而 candidate_profile.json 至今没有记录学位层次。上海条代表同批四个 req id 不同的同名岗位，合肥条另需城市表态，QA 条另需方向表态。跳过项以岗位族为主而非资质：NVIDIA 的 GPU 架构与 ASIC、NXP 的模拟设计与测试、Applied Materials 的设备安装，均为硬件或现场工程。NXP 一条列表标题写作 System and Application Engineer，正文实为 Application Engineer – Automotive MCU，职责是客户支持与培训，属 FAE，是今天第二次遇到列表标题与正文不符。最值得记一笔的跳过是 NVIDIA 中国区约 25 条 2027 实习 req，其中多条发布于今明两天，是本次扫描里最新鲜也最贴合方向的一批，但实习属规则明确跳过，全部合并记录。工作身份在本次筛选中一次都没有成为障碍，这正是中国线与美国线最大的结构性差异：同日美国线 18 条跳过里有 8 条卡在 sponsorship 或公民身份。未开启任何投递流程，未提交任何申请。 当日稍晚（本地 17:44—17:45）三条 NVIDIA lead 全部被从 dashboard 归档，其中 Software Engineering 与 Deep Learning/HPC 两条在归档前几分钟刚因毕业时间确认而清空全部待办、标为「可投递，等你确认」。归档即 dismissed，状态仍为 Pending，dashboard/china/application_log.csv 未动，未开启任何投递流程。中国线剩余活跃行为 KLA 三条 Needs user。,"三条 NVIDIA 校招是可以立刻决定的：三地 Tier 1、学位不设限、方向对口，只差你对毕业时间的一句确认——岗位要求 2027 年毕业，你的窗口只有 2027 年 5 月这一端符合，2026 年 12 月毕业不满足。若确定是 5 月毕业，这三条无阻碍。学位层次现在是两条线共同的最大瓶颈，且代价已经具体化：中国线 KLA 三条全部因此挂起，美国线三周内因高级学位丢掉六个岗位，其中 Snowflake 一条年薪 176,000 至 230,000 美元。补上这一个字段能同时解锁两边。C++ 问题同样跨线：中国线 NVIDIA 自动驾驶条、美国线 Cadence 与 Five Rings 都卡在同一处——规则只跳过标题含 C++ 的岗位，对正文要求 C++ 的岗位没有规定。合肥是否可接受、QA 方向是否纳入目标，这两条是中国线新出现的边界问题，规则里都没有写。覆盖缺口需要说明：Microsoft 校招接口本次未返回数据，Amazon 的国家过滤参数被服务端忽略、返回的仍是全球结果，两家均未纳入本次扫描；Siemens 走 Avature、Oracle 走 Oracle Cloud，按既有规则本就属源受限。AMD、Qualcomm、Dell、Synopsys 的 Workday 站点名未探到，返回 422。这些都是下次可以补的方向，不是「这些公司没有岗位」。 中国线首跑的三条 lead 已全部 dismissed，剩下的三条 KLA 全部卡在同一个未确认事实——学位层次。也就是说中国线目前没有任何可推进项：lead 已清空，剩余行在补上学位层次前无法判定。"
2026-09-13,17,0,12,0,0,5,外企 Workday 校招/官网批量扫描（30 家返回数据）；Microsoft Eightfold；Bosch SmartRecruiters,"中国线第二次 lead-finding fetch，2026-09-13，距上次（09-05）八天。扫描范围比首跑大很多：Workday 探了 37 家外企，其中 30 家返回数据，共 1,969 条中国相关 req，新增的有 Citi、Morgan Stanley、State Street、Philips、GE HealthCare、Thermo Fisher、Medtronic、Pfizer、HP、Nike、Disney、Broadcom、Marvell、ADI、Mastercard、Zoom、BlackRock；Microsoft 从 Eightfold 接口补上了首跑的覆盖缺口，中国区共 41 条；Bosch 从 SmartRecruiters 读到中国区 1,299 条。时效窗口：首跑扫过的 11 家只看 09-05 之后发布的，新接入的公司按冷启动逻辑收录仍在开放的 27 届校招。新增 17 行：4 条 Pending、1 条 Needs user、12 条 Skipped。最强的一条是微软亚太研发集团 09-11 发布的 Software Engineer（北京/苏州），资格线写明在读或刚毕业，本科、硕士、博士均可，没有年限要求，是标准应届岗。微软苏州 Windows App 团队的 Software Engineer 只要求本科，没写年限，但方向是 Linux 原生客户端和系统编程，列 Medium。Bosch 博世智能出行无锡挂了一整批 27 届校招，是这次最大的新来源，但算法类几乎全部要求硕士：大模型算法工程师内容上是本批最对口的一条（Agent 运行时框架、评测框架、SFT/DPO 后训练），却写明 2026 届硕士及以上；预测算法和感知算法要求硕士在读。同批只有辅助驾驶功能开发工程师放宽到本科及以上，列 Pending Medium；网络安全软件工程师未写学历，但正文要求较强 C/C++，列 Low。NXP 新挂的 2027Y Campus Linux Software Test Engineer 本科可投，但卡在测试方向是否纳入目标，这个问题和 09-05 的 KLA QA 条一样一直没定，记为 Needs user。跳过以学位和社招年限为主。学位：微软 Applied Scientist 要硕博，Researcher 要硕士加 1 年或本科加 2 年，外加 Bosch 三条算法岗。社招：NVIDIA 上海的 LLM Inference 方向完全对口，但要求硕士加 4 年以上；SDET Robotics、KLA 深圳、State Street 杭州两条，以及列表标题写 Software Engineer、正文实为 Senior 且要 6-10 年的 Philips 沈阳。首跑扫过的 11 家里，NVIDIA、KLA、NXP 之外基本没有带校招标记的新软件岗，其余中国软件岗大多是不写届别的社招。另外，学位层次已于 09-06 确认为本科，09-05 那三条 KLA Needs user 卡住的事实补上了：本科分支要求 2 年经验，应届本科不满足，三条一并改为 Skipped。工作身份在本次筛选中依然一次都没有构成障碍。未开启任何投递流程，未提交任何申请。 当日稍晚用户答复了两个问题。测试方向纳入目标：NXP 2027Y Campus Linux Software Test Engineer 由 Needs user 改为 Pending Medium，Bosch 智能家居测试开发工程师由 Skipped 重开为 Pending Low。正文 C++：强制要求才跳过，作为可选语言之一出现不跳过；据此 Bosch 网络安全软件工程师由 Pending 改为 Skipped，辅助驾驶功能开发工程师复核后保留。当日收于 5 条 Pending、0 条 Needs user、12 条 Skipped。",可以直接决定的一条：微软 APRD Software Engineer（北京/苏州），应届岗，本科可投，没有年限要求，只等你一句确认。微软苏州 Windows App Software Engineer 和 Bosch 无锡辅助驾驶功能开发（27 届校招）排在后面，都没有资格障碍，只是方向离 AI 工程稍远。需要你表态的有两个问题，都不是新问题。第一，QA/测试方向要不要纳入目标：NXP 2027Y Campus Linux Software Test Engineer 本科可投，只卡在这一点上，09-05 的 KLA QA 条也卡过同一个问题。第二，正文要求 C++、标题不带 C++ 的岗位怎么算：Bosch 网络安全软件工程师卡在这里，美国线的 Cadence 和 Five Rings 也是。值得知道的一点：外企中国区的算法和大模型校招普遍把门槛设在硕士，这次 Bosch 三条、微软两条都是，所以中国线的可投岗主要会落在软件开发类。覆盖缺口：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍然返回 422；Qualcomm 的 Eightfold 返回 403；Apple 的搜索接口用 China 过滤返回 0 条，应该是过滤参数写错了，不代表没有岗位；Siemens（Avature）和 Oracle 系站点照旧属源受限。 更新：测试方向和正文 C++ 两个问题已由用户答复，不再待决。NXP 2027Y Campus Linux Software Test Engineer 现在只等投递确认。
2026-09-14,3,0,2,0,0,1,外企 Workday 增量扫描（30 家）；Microsoft Eightfold；Bosch SmartRecruiters,"中国线 lead-finding fetch，2026-09-14，距上次一天，按增量窗口只看 09-12 之后的新发布。Workday 30 家共 1,938 条中国相关 req，两天内新发布的约 40 条里没有一条应届软件或 AI 岗，基本是资深岗、实习、医药与销售职能岗。微软中国区 40 条，新发布的只有上海 Core AI 的 Software Engineer II，要 5 年以上经验。Bosch 中国区 1,302 条，09-12 之后没有新的软件或 AI 岗。新增 3 行：1 条 Pending、2 条 Skipped。唯一的新 lead 不是新发布的岗位，而是昨天的规则变化带出来的：博世智能出行无锡的辅助驾驶自动化测试工程师（27 届校招）08-06 就挂出了，昨天因为测试方向还没定没有收录，今天按新规则补上。本科应届可投，语言要求任选，无锡 Tier 2。跳过的两条都是社招：Philips 深圳的 Test and Verification Engineer 要 5 年以上医疗产品验证经验，微软 Core AI 的 Software Engineer II 要 5 年以上。未开启任何投递流程，未提交任何申请。",可以决定的一条：Bosch 无锡辅助驾驶自动化测试工程师（27 届校招），本科应届、没有资格障碍，只等你确认。覆盖缺口与昨天相同：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍返回 422，Apple 搜索过滤参数仍未修正。
2026-09-15,3,0,3,0,0,0,外企 Workday 增量扫描（30 家）；Microsoft Eightfold；Bosch SmartRecruiters,"中国线 lead-finding fetch，2026-09-15，增量窗口只看 09-14 之后的新发布。Workday 30 家共 1,915 条中国相关 req，微软中国区 41 条，Bosch 中国区 1,304 条。新发布里没有一条应届软件或 AI 岗。新增 3 行，全部是社招跳过：NVIDIA 上海 Isaac Lab 机器人软件工程师要 3 年经验，State Street 杭州 AI Software Engineer 要 3 年，另一条 Officer 级软件岗要 5 年 Java 经验。其余新发布是 NVIDIA 2027 实习、资深岗、医药与销售职能岗，微软新挂的两条都是 Senior，Bosch 新挂的是长沙电机生产测试岗，NXP 的 AI Software Developer 在捷克布尔诺，不属中国大陆。美国线今天的签证规则变化不影响中国线，工作身份在这条线上本来就不是筛选条件。未开启任何投递流程，未提交任何申请。",今天中国线没有新的可投项。覆盖缺口与前两天相同：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍返回 422，Apple 搜索过滤参数仍未修正。
2026-09-16,2,0,2,0,0,0,外企 Workday 增量扫描（30 家）；Microsoft Eightfold；Bosch SmartRecruiters,"中国线 lead-finding fetch，2026-09-16，增量窗口只看 09-15 之后的新发布。Workday 30 家共 1,892 条中国相关 req，微软中国区 41 条，Bosch 中国区 1,312 条。新增 2 行，都是跳过，没有新的可投项。微软苏州新挂的 Software Engineer II - Windows 365 要求本科加 2 年以上经验。Bosch 无锡新挂的 BSP 开发工程师级别为 Associate、标题未标校招，正文把熟练 C/C++ 列为必备条件，按 09-13 的 C++ 裁定跳过，方向也是嵌入式驱动而非目标族。其余新发布为 Bosch 上海在线标定算法（Mid-Senior）、Bosch 长沙电机生产测试岗，以及 Workday 各家的资深岗、实习和医药销售职能岗。美国线 09-15 的签证规则变化对这条线没有影响，工作身份在这条线上本来就不是筛选条件。未开启任何投递流程，未提交任何申请。",中国线目前没有可推进项：唯一一条可投的 Bosch 辅助驾驶自动化测试工程师已于 09-14 归档。覆盖缺口与前几天相同：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍返回 422，Apple 搜索过滤参数仍未修正。
2026-09-17,3,0,3,0,0,0,外企 Workday 增量扫描（37 个站点）；Microsoft Eightfold；Bosch SmartRecruiters,"中国线 lead-finding fetch，2026-09-17，增量窗口只看 09-16 之后的新发布。Workday 共 1,901 条相关 req，其中今天和昨天新发布 125 条；微软中国区 42 条，Bosch 中国区 1,313 条。新增 3 行，全部跳过，没有新的可投项。Intel 上海 AI Compiler and Library Engineer 标题像全职岗，正文 Job Type 为 Student / Intern，按实习跳过。State Street 杭州新挂的 AI Software Engineer（R-798033）方向是 Agentic AI 与 LLM，完全对口，但要本科加 3 年经验。HP 重庆 Software Application Engineer 通常要 4-7 年经验。其余新发布为 Intel 成都与班加罗尔共挂的应用开发岗（本科 2 年经验）、Philips 深圳口腔护理的功能开发岗（硬件方向且要 2-5 年）、NVIDIA 2027 实习，以及 AMAT、辉瑞、耐克等的销售、现场工程与职能岗。微软 09-16 之后新挂的两条是 Principal 经理岗和 09-16 已记录的 Software Engineer II；Bosch 新挂的都是采购、设计与 Mid-Senior 岗。未开启任何投递流程，未提交任何申请。",中国线今天没有可推进项。覆盖缺口不变：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍返回 422，Apple 搜索过滤参数仍未修正。
2026-09-18,3,0,3,0,0,0,外企 Workday 增量扫描（28 个站点，26 个返回数据）；Bosch SmartRecruiters；speedyapply NEW_GRAD_INTL（本次新接入，中国大陆 0 条）；微软 Eightfold 接口已失效,"中国线 lead-finding fetch，2026-09-18，增量窗口只看 09-17 之后的新发布。Workday 扫了 28 个站点，26 个返回数据，共取到中国相关 req 约 760 条，其中标记为今天或昨天发布的 48 条；Bosch SmartRecruiters 中国区 1,312 条，09-17 之后新发布 12 条；speedyapply 新接入的 NEW_GRAD_INTL 两份列表在 48 小时窗口内有 67 条，但没有一条落在中国大陆。新增 3 行，全部跳过，没有新的可投项。今天最值得记的是 Intel 深圳的 Ecosystem Technical Enabling Engineer。列表标题读起来像 FAE 或技术支持，正文第一句却写明 'join Intel's Technical Enablement Group ... as an AI Software Engineer'，做的是 AI PC 平台上的 Agentic AI 系统：多步推理、工具调用、记忆与任务编排，以及预训练和微调流水线，是中国线开线以来与候选人方向最贴合的一条，且为全职、深圳 Tier 1。它最终仍然跳过，卡在两条互相独立的硬规则上：Minimum Qualifications 第一条写 Master's degree，本科不满足；同时把 C++ 与 Python 并列写为必备能力，按 09-13 的裁定属强制要求。只看标题会直接错过这条，也就不会知道真正的卡点在哪里。另两条：Intel 上海 AI Compiler and Library Engineer Intern（JR0287303）方向对口但属实习，按 09-05 的规则硬跳过，与 09-17 记录的 JR0287301 是同批不同 req；State Street 杭州 AI 辅助测试岗（R-795525）方向在目标内——测试方向已于 09-13 确认纳入 Software Engineering 族——但级别写明 Senior Associate，属社招。其余新发布依旧集中在销售、职能与硬件：AMAT 上海的销售总监与质量工程、NXP 天津的 DFT 与封装、ADI 上海的电源 IC 设计与产品应用、Medtronic 常州的 CNC 与实习、Pfizer 郑州的医学信息沟通、Mastercard 上海的产品总监；State Street 杭州新挂的十余条几乎全是基金会计与运营岗；Bosch 的 12 条新发布是销售、采购、EHS 与制造数字化，没有一条应届软件或 AI 岗。09-17 已记录的 State Street AI Software Engineer（R-798033）今天仍在窗口内，按 req id 去重未重复收录。工作身份在本次筛选中依然一次都没有构成障碍。未开启任何投递流程，未提交任何申请。",中国线今天没有可推进项，也没有需要你表态的问题。覆盖上有一处真实退化，需要记一笔：微软中国区这次完全没扫到。从 09-13 到 09-17 一直在用的 Eightfold 接口（apply.careers.microsoft.com）现在返回 403 'Not authorized for PCSX'，备用的 gcsservices.careers.microsoft.com 证书与域名不匹配、TLS 握手失败。微软是中国线唯一出过标准应届软件岗的外企——09-13 那条 APRD Software Engineer 就是从这个接口来的——所以这不是「微软没岗」，而是「今天看不到微软」，已按 09-16 记录 E-Verify 查询的同样做法写进规则，改走浏览器复查。其余覆盖缺口与前几天相同：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍未探到，GE HealthCare 返回 422、Thermo Fisher 与 Nike 返回 404，Apple 搜索过滤参数仍未修正。一个结构性观察：外企中国区这几天的新发布里，软件与 AI 方向要么是实习，要么是社招，要么把学历门槛设在硕士。今天 Intel 深圳那条把三者中的两条同时占了。中国线的可投岗大概率仍要等秋招 27 届校招批次集中放出，而不是靠每日增量捡到。
2026-09-19,0,0,0,0,0,0,外企 Workday 增量扫描（28 个站点，26 个返回数据）；Bosch SmartRecruiters；speedyapply NEW_GRAD_INTL（中国大陆 0 条）；微软 Eightfold 接口仍失效,"中国线 lead-finding fetch，2026-09-19，增量窗口只看 09-18 之后的新发布。Workday 28 个站点、26 个返回数据，标记为今天或昨天发布的中国相关 req 共 18 条；Bosch SmartRecruiters 中国区 1,312 条，09-18 之后新发布 7 条；speedyapply 的两份 NEW_GRAD_INTL 列表在窗口内有 20 条，仍然没有一条落在中国大陆。新增 0 行：没有一条新的应届软件或 AI 岗，也没有一条需要记录的跳过。18 条 Workday 新发布里，Medtronic 常州与上海占了 8 条（CNC 操作、实习、技术销售、商务经理、高级质量工程师），State Street 杭州 2 条仍是基金会计，其余是 KLA 上海产品市场、Citi 上海对公客户、Philips 苏州工业工程、Pfizer 郑州与上海的医学信息沟通和市场助理、Mastercard 上海产品总监，全部不在目标岗位族内。Intel 深圳的 Ecosystem Technical Enabling Engineer 今天仍在窗口内，但 09-18 已按硕士学历下限与 C++ 强制要求记录跳过，按 req id 去重未重复收录。Bosch 的 7 条新发布与昨天完全同一批：销售、采购、EHS、索赔与制造数字化，没有软件或 AI 岗。微软中国区仍然扫不到：09-18 记录的两个接口故障（Eightfold 返回 403 'Not authorized for PCSX'，gcsservices 证书与域名不匹配）今天复现，按规则未重试更多变体。工作身份在本次筛选中依然不构成障碍。未开启任何投递流程，未提交任何申请。",中国线今天没有可推进项，也没有需要你表态的问题，连一条值得记录的跳过都没有。这已经是连续第四天（09-16 起）没有新的应届软件或 AI 岗，值得说明这不是筛选过严：这几天外企中国区的新发布集中在销售、职能、制造与医药岗，软件方向要么是实习，要么是社招，要么把学历门槛设在硕士。唯一的真实覆盖损失仍是微软——它是中国线至今唯一出过标准应届软件岗的外企（09-13 那条 APRD Software Engineer），而它的接口从 09-18 起就取不到数据了。如果中国线要在秋招季有产出，微软的浏览器复查是优先级最高的一件事。其余覆盖缺口不变：AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research、HSBC 的 Workday 站点名仍未探到，GE HealthCare 返回 422，Thermo Fisher 与 Nike 返回 404，Apple 搜索过滤参数仍未修正。
2026-09-20,0,0,0,0,0,0,外企 Workday 增量扫描（42 个站点，19 个返回数据）；Bosch SmartRecruiters；speedyapply NEW_GRAD_INTL（中国大陆 0 条）；微软搜索接口仍失效，单条 req 接口恢复,"中国线 lead-finding fetch，2026-09-20，增量窗口只看 09-18 之后的新发布。外企 Workday 扫描 42 个站点、19 个返回数据，落在窗口内的中国相关 req 共 28 条；Bosch SmartRecruiters 中国区 1,311 条，09-18 之后新发布 10 条；speedyapply 两份 NEW_GRAD_INTL 列表在窗口内一条中国大陆的行都没有，和前几天一样。新增 0 行，没有一条新的应届软件或 AI 岗，也没有一条需要记录的跳过。28 条 Workday 新发布里，阿斯利康一家占了 14 条，全部是医药代表、市场准入与商务管理；罗氏 4 条中有一条 AI Solution Architect，方向对得上，但 Architect 属于社招资深岗，按规则跳过；其余是 Medtronic 上海的投资 VP 与产品经理、State Street 杭州的基金会计、飞利浦 KA Manager、辉瑞北京的医学信息沟通、Mastercard 上海产品总监、Cadence 上海实体安全、应用材料上海销售总监与非技术项目管理。Bosch 的 10 条是项目管理、销售、EHS、索赔与制造数字化，没有软件或 AI 岗。这是 09-16 以来连续第五天没有新的应届软件或 AI 岗。微软的情况今天有变化，但不是中国线的变化：单条 req 现在可以通过 apply.careers.microsoft.com/api/apply/v2/jobs/<id> 读到完整正文，美国线今天就是这么读的两条；但搜索接口仍然返回 403 'Not authorized for PCSX'，gcsservices 证书依旧与域名不匹配，所以中国区的『发现』环节还是取不到岗位列表，浏览器复查仍然是优先级最高的一件事。本次 Workday 扫描有 23 个站点返回 422 或 404，说明站点 token 需要修，其中就包括 AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research 这几个一直在覆盖缺口里的厂商。工作身份在本次筛选中依然不构成障碍。未开启任何投递流程，未提交任何申请。",中国线今天没有可推进项，也没有需要你表态的问题。连续第五天零新增，原因和前几天相同：外企中国区这几天的新发布集中在医药、销售与职能岗，软件方向要么是实习，要么是社招。两件事值得知道：微软的单条 req 正文今天恢复可读，但岗位列表仍然读不到，所以微软中国区的浏览器复查还是那件最该做的事；另外今天的 Workday 扫描有 23 个站点 token 失效，AMD、Qualcomm、Dell、Synopsys、Western Digital、Lam Research 都在其中，下一次运行会先修站点表再扫描。
2026-09-21,3,0,2,0,0,1,Bosch SmartRecruiters 中国区接口；外企 Workday 增量扫描（42 个站点，20 个返回数据，Qualcomm token 修复）；speedyapply NEW_GRAD_INTL（中国大陆 0 条）；微软搜索接口仍 403,"中国线 lead-finding fetch，2026-09-21，增量窗口只看 09-20 之后的新发布，连续五天零新增之后第一次有结果。外企 Workday 扫描 42 个站点、20 个返回数据（Qualcomm 的站点 token 今天修好了，wd12/External），窗口内中国相关 req 25 条；Bosch SmartRecruiters 中国区 1,316 条，09-20 之后新发布 11 条；speedyapply 两份 NEW_GRAD_INTL 在窗口内仍然没有中国大陆的行。新增 3 行：1 条 Pending，2 条 Skipped。值得记的是博世苏州的 智能体AI工程师_BCI，09-21 当天发布，方向几乎完全对口：生产级 Agentic AI 系统、单智能体与多智能体工作流、任务分解与工具调用、知识图谱加 RAG 的混合推理，以及内部 Agent Builder 与 Agent Hub 平台建设，技术栈写的是 C#、.NET、Java、Python，全文没有出现 C++，学历没有下限，年限没有具体数字。唯一的问号是层级：SmartRecruiters 的结构化 experienceLevel 字段给的是 Associate，但正文两处强调要交付过生产系统而不只是 PoC，读起来更像社招初级。按 09-18 那条『看正文不看标题』的规则，先记 Pending，把是否接受应届写进 next_action。同批发布的另外两条智驾岗都是社招：智驾系统工程师 要求 3 年以上 ADAS 量产交付经验，智驾EE系统架构师 标题即架构师，两条都按资深层级跳过。25 条 Workday 新发布里阿斯利康又占了 20 条医药代表岗，罗氏的 AI Solution Architect 和 HP 重庆的 Software Applications Engineer 3 分别因架构师与 3 级社招跳过，其余是基金会计与数字产品岗。另外记一条覆盖结论：按昨天的规则先修 Workday 站点 token，共试了 1,584 个 tenant/host/site 组合，只修好 Qualcomm 一个；AMD、Dell、Western Digital、Synopsys、Lam Research 的招聘首页是 JS 壳，HTML 里根本不暴露 ATS 地址，猜 token 这条路走不通，需要浏览器复查确认它们到底用的是哪个招聘系统。微软中国区依然只能读单条 req，搜索接口仍是 403。未开启任何投递流程，未提交任何申请。","中国线今天没有待你表态的岗位。规则层面同步了一条：美国线 2026-09-21 把 C++ 跳过收窄为「正文只点名 C++」之后，中国线照同一口径执行——与其他语言并列的 C++ 不再跳过，标题含 C++ 仍然跳过，「C/C++」按同一类要求处理仍然跳过。影响是 Intel Ecosystem Technical Enabling Engineer 现在只按硕士学历下限跳过。覆盖问题不变，两件都要浏览器才能解决：AMD、Dell、Western Digital、Synopsys、Lam Research 猜不出招聘系统地址，1,584 个组合只修好 Qualcomm；微软中国区岗位列表仍是 403，只有单条 req 能读。"
